home_team_enc,away_team_enc,home_wins_last3y,home_draws_last3y,home_losses_last3y,home_goals_for_last3y,home_goals_against_last3y,away_wins_last3y,away_draws_last3y,away_losses_last3y,away_goals_for_last3y,away_goals_against_last3y,home_h2h_winrate,result,date,home_team,away_team,result_enc
16,33,1.0,5.0,4.0,13.0,17.0,5.0,1.0,4.0,12.0,11.0,0.1,A,2012-07-22,FIGUEIRENSE,SAO PAULO,0
22,2,4.0,4.0,2.0,13.0,10.0,1.0,2.0,7.0,7.0,18.0,0.3,H,2012-07-22,INTERNACIONAL,ATLETICO GO,2
27,26,1.0,4.0,5.0,9.0,12.0,4.0,1.0,5.0,13.0,17.0,0.1,H,2012-07-22,PALMEIRAS,NAUTICO,2
5,11,1.0,4.0,5.0,7.0,16.0,2.0,2.0,6.0,15.0,21.0,0.1,D,2012-07-22,BAHIA,CORITIBA,1
6,21,5.0,2.0,3.0,21.0,15.0,6.0,0.0,4.0,15.0,10.0,0.2,A,2012-07-22,BOTAFOGO RJ,GREMIO,0
29,18,4.0,3.0,3.0,13.0,12.0,6.0,4.0,0.0,20.0,6.0,0.3,A,2012-07-22,PONTE PRETA,FLUMINENSE,0
16,22,1.0,5.0,5.0,13.0,19.0,5.0,4.0,2.0,17.0,11.0,0.09090909090909091,A,2012-07-25,FIGUEIRENSE,INTERNACIONAL,0
29,34,4.0,3.0,4.0,14.0,14.0,3.0,3.0,5.0,12.0,18.0,0.2727272727272727,D,2012-07-25,PONTE PRETA,SPORT RECIFE,1
26,11,4.0,1.0,6.0,13.0,20.0,2.0,3.0,6.0,17.0,23.0,0.2727272727272727,A,2012-07-26,NAUTICO,CORITIBA,0
35,6,8.0,2.0,1.0,19.0,11.0,5.0,2.0,4.0,21.0,16.0,0.45454545454545453,H,2012-07-26,VASCO DA GAMA,BOTAFOGO RJ,2
2,33,1.0,2.0,8.0,8.0,22.0,6.0,1.0,4.0,14.0,11.0,0.09090909090909091,H,2012-07-26,ATLETICO GO,SAO PAULO,2
10,13,3.0,3.0,5.0,11.0,13.0,6.0,2.0,3.0,15.0,11.0,0.18181818181818182,H,2012-07-26,CORINTHIANS,CRUZEIRO,2
21,18,7.0,0.0,4.0,16.0,10.0,7.0,4.0,0.0,22.0,7.0,0.36363636363636365,H,2012-07-26,GREMIO,FLUMINENSE,2
3,32,9.0,1.0,1.0,23.0,8.0,1.0,7.0,3.0,7.0,9.0,0.36363636363636365,H,2012-07-27,ATLETICO-MG,SANTOS,2
17,30,4.0,3.0,4.0,15.0,17.0,2.0,3.0,6.0,7.0,15.0,0.2727272727272727,D,2012-07-27,FLAMENGO RJ,PORTUGUESA,1
27,5,2.0,4.0,5.0,12.0,12.0,1.0,5.0,5.0,9.0,18.0,0.18181818181818182,A,2012-07-27,PALMEIRAS,BAHIA,0
11,21,3.0,3.0,6.0,21.0,26.0,8.0,0.0,4.0,17.0,10.0,0.18181818181818182,H,2012-07-28,CORITIBA,GREMIO,2
22,35,6.0,4.0,2.0,18.0,11.0,9.0,2.0,1.0,20.0,11.0,0.36363636363636365,D,2012-07-28,INTERNACIONAL,VASCO DA GAMA,1
6,16,5.0,2.0,5.0,21.0,17.0,1.0,5.0,6.0,13.0,20.0,0.18181818181818182,H,2012-07-29,BOTAFOGO RJ,FIGUEIRENSE,2
5,10,2.0,5.0,5.0,11.0,18.0,4.0,3.0,5.0,13.0,13.0,0.09090909090909091,D,2012-07-29,BAHIA,CORINTHIANS,1
18,3,7.0,4.0,1.0,22.0,8.0,10.0,1.0,1.0,25.0,8.0,0.2727272727272727,D,2012-07-29,FLUMINENSE,ATLETICO-MG,1
33,17,6.0,1.0,5.0,17.0,15.0,4.0,4.0,4.0,15.0,17.0,0.36363636363636365,H,2012-07-29,SAO PAULO,FLAMENGO RJ,2
34,2,3.0,4.0,5.0,13.0,19.0,2.0,2.0,8.0,12.0,25.0,0.16666666666666666,D,2012-07-29,SPORT RECIFE,ATLETICO GO,1
13,27,6.0,2.0,4.0,15.0,13.0,2.0,4.0,6.0,12.0,14.0,0.2727272727272727,H,2012-07-29,CRUZEIRO,PALMEIRAS,2
30,26,2.0,4.0,6.0,7.0,15.0,4.0,1.0,7.0,16.0,24.0,0.18181818181818182,H,2012-07-29,PORTUGUESA,NAUTICO,2
32,29,1.0,7.0,4.0,7.0,11.0,4.0,4.0,4.0,15.0,15.0,0.1,H,2012-07-29,SANTOS,PONTE PRETA,2
2,6,2.0,3.0,8.0,12.0,25.0,6.0,2.0,5.0,22.0,17.0,0.16666666666666666,A,2012-08-04,ATLETICO GO,BOTAFOGO RJ,0
27,22,2.0,4.0,7.0,13.0,16.0,6.0,5.0,2.0,18.0,11.0,0.15384615384615385,A,2012-08-04,PALMEIRAS,INTERNACIONAL,0
30,16,3.0,4.0,6.0,10.0,16.0,1.0,5.0,7.0,13.0,21.0,0.25,H,2012-08-05,PORTUGUESA,FIGUEIRENSE,2
11,18,4.0,3.0,6.0,23.0,27.0,7.0,5.0,1.0,22.0,8.0,0.23076923076923078,A,2012-08-05,CORITIBA,FLUMINENSE,0
21,5,8.0,0.0,5.0,18.0,12.0,2.0,6.0,5.0,11.0,18.0,0.4166666666666667,H,2012-08-05,GREMIO,BAHIA,2
33,34,7.0,1.0,5.0,21.0,16.0,3.0,5.0,5.0,13.0,19.0,0.4166666666666667,H,2012-08-05,SAO PAULO,SPORT RECIFE,2
35,10,9.0,3.0,1.0,20.0,11.0,4.0,4.0,5.0,13.0,13.0,0.46153846153846156,D,2012-08-05,VASCO DA GAMA,CORINTHIANS,1
13,29,7.0,2.0,4.0,17.0,14.0,4.0,4.0,5.0,16.0,17.0,0.3076923076923077,A,2012-08-05,CRUZEIRO,PONTE PRETA,0
26,32,4.0,1.0,8.0,17.0,27.0,2.0,7.0,4.0,9.0,12.0,0.23076923076923078,H,2012-08-05,NAUTICO,SANTOS,2
22,26,7.0,5.0,2.0,19.0,11.0,5.0,1.0,8.0,20.0,27.0,0.2857142857142857,D,2012-08-08,INTERNACIONAL,NAUTICO,1
34,35,3.0,5.0,6.0,13.0,20.0,9.0,4.0,1.0,20.0,11.0,0.15384615384615385,A,2012-08-08,SPORT RECIFE,VASCO DA GAMA,0
5,30,2.0,6.0,6.0,12.0,21.0,4.0,4.0,6.0,12.0,16.0,0.07142857142857142,D,2012-08-09,BAHIA,PORTUGUESA,1
10,2,4.0,5.0,5.0,13.0,13.0,2.0,3.0,9.0,13.0,27.0,0.21428571428571427,D,2012-08-09,CORINTHIANS,ATLETICO GO,1
6,27,7.0,2.0,5.0,24.0,18.0,2.0,4.0,8.0,13.0,17.0,0.23076923076923078,A,2012-08-09,BOTAFOGO RJ,PALMEIRAS,0
16,17,1.0,5.0,8.0,13.0,23.0,4.0,4.0,5.0,16.0,21.0,0.07142857142857142,A,2012-08-09,FIGUEIRENSE,FLAMENGO RJ,0
32,13,2.0,7.0,5.0,9.0,15.0,7.0,2.0,5.0,18.0,16.0,0.16666666666666666,H,2012-08-09,SANTOS,CRUZEIRO,2
3,11,10.0,2.0,1.0,25.0,8.0,4.0,3.0,7.0,23.0,29.0,0.38461538461538464,H,2012-08-10,ATLETICO-MG,CORITIBA,2
18,33,8.0,5.0,1.0,24.0,8.0,8.0,1.0,5.0,22.0,16.0,0.23076923076923078,H,2012-08-10,FLUMINENSE,SAO PAULO,2
29,21,5.0,4.0,5.0,18.0,18.0,9.0,0.0,5.0,21.0,13.0,0.21428571428571427,D,2012-08-10,PONTE PRETA,GREMIO,1
5,13,2.0,7.0,6.0,12.0,21.0,7.0,2.0,6.0,20.0,20.0,0.06666666666666667,A,2012-08-11,BAHIA,CRUZEIRO,0
32,2,3.0,7.0,5.0,13.0,17.0,2.0,4.0,9.0,14.0,28.0,0.2,D,2012-08-11,SANTOS,ATLETICO GO,1
34,16,3.0,5.0,7.0,13.0,22.0,1.0,5.0,9.0,13.0,25.0,0.13333333333333333,A,2012-08-11,SPORT RECIFE,FIGUEIRENSE,0
17,26,5.0,4.0,5.0,18.0,21.0,5.0,2.0,8.0,20.0,27.0,0.21428571428571427,H,2012-08-12,FLAMENGO RJ,NAUTICO,2
3,35,11.0,2.0,1.0,26.0,8.0,10.0,4.0,1.0,22.0,11.0,0.42857142857142855,H,2012-08-12,ATLETICO-MG,VASCO DA GAMA,2
11,10,4.0,3.0,8.0,23.0,30.0,4.0,6.0,5.0,14.0,14.0,0.21428571428571427,A,2012-08-12,CORITIBA,CORINTHIANS,0
22,29,7.0,6.0,2.0,19.0,11.0,5.0,5.0,5.0,18.0,18.0,0.26666666666666666,H,2012-08-12,INTERNACIONAL,PONTE PRETA,2
33,21,8.0,1.0,6.0,23.0,18.0,9.0,1.0,5.0,21.0,13.0,0.4,A,2012-08-12,SAO PAULO,GREMIO,0
18,27,9.0,5.0,1.0,26.0,9.0,3.0,4.0,8.0,15.0,18.0,0.2857142857142857,H,2012-08-12,FLUMINENSE,PALMEIRAS,2
30,6,4.0,5.0,6.0,12.0,16.0,7.0,2.0,6.0,25.0,20.0,0.2857142857142857,D,2012-08-12,PORTUGUESA,BOTAFOGO RJ,1
13,18,8.0,2.0,6.0,21.0,20.0,10.0,5.0,1.0,27.0,9.0,0.25,D,2012-08-15,CRUZEIRO,FLUMINENSE,1
21,30,10.0,1.0,5.0,23.0,14.0,4.0,6.0,6.0,13.0,17.0,0.4,A,2012-08-15,GREMIO,PORTUGUESA,0
